<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
comex.GC,D,29/09/20,000000,1887.4000000,1904.8000000,1880.8000000,1902.1000000,207585
comex.GC,D,30/09/20,000000,1902.0000000,1908.2000000,1885.8000000,1893.2000000,255101
comex.GC,D,01/10/20,000000,1893.2000000,1917.9000000,1890.0000000,1909.6000000,255820
comex.GC,D,02/10/20,000000,1909.5000000,1923.6000000,1895.2000000,1904.1000000,205742
comex.GC,D,04/10/20,000000,1910.9000000,1910.9000000,1902.6000000,1908.0000000,5959
comex.GC,D,05/10/20,000000,1908.1000000,1924.9000000,1891.2000000,1918.3000000,170035
comex.GC,D,06/10/20,000000,1918.2000000,1927.0000000,1878.2000000,1884.6000000,214598
comex.GC,D,07/10/20,000000,1884.6000000,1902.4000000,1877.1000000,1890.4000000,173116
comex.GC,D,08/10/20,000000,1890.4000000,1905.3000000,1885.3000000,1899.6000000,174782
comex.GC,D,09/10/20,000000,1899.3000000,1936.8000000,1899.3000000,1936.3000000,217199
comex.GC,D,11/10/20,000000,1935.0000000,1939.4000000,1932.4000000,1935.1000000,7747
comex.GC,D,12/10/20,000000,1934.8000000,1938.0000000,1923.8000000,1929.8000000,148096
comex.GC,D,13/10/20,000000,1929.8000000,1930.6000000,1889.3000000,1896.5000000,255063
comex.GC,D,14/10/20,000000,1896.5000000,1917.5000000,1885.0000000,1902.4000000,184626
comex.GC,D,15/10/20,000000,1902.4000000,1913.7000000,1892.7000000,1910.6000000,199469
comex.GC,D,16/10/20,000000,1910.6000000,1918.7000000,1901.1000000,1902.9000000,138471
comex.GC,D,18/10/20,000000,1903.2000000,1906.6000000,1902.1000000,1904.4000000,3485
comex.GC,D,19/10/20,000000,1904.4000000,1923.4000000,1900.2000000,1906.0000000,147766
comex.GC,D,20/10/20,000000,1906.1000000,1917.6000000,1896.6000000,1913.9000000,157144
comex.GC,D,21/10/20,000000,1913.8000000,1936.0000000,1913.1000000,1924.6000000,190587
comex.GC,D,22/10/20,000000,1924.5000000,1925.2000000,1894.2000000,1907.3000000,200153
comex.GC,D,23/10/20,000000,1907.3000000,1917.3000000,1895.2000000,1903.4000000,159882
comex.GC,D,25/10/20,000000,1906.0000000,1906.3000000,1892.5000000,1900.5000000,8429
comex.GC,D,26/10/20,000000,1900.5000000,1911.1000000,1895.5000000,1904.6000000,152524
comex.GC,D,27/10/20,000000,1904.5000000,1913.8000000,1898.7000000,1907.7000000,148053
comex.GC,D,28/10/20,000000,1907.8000000,1912.6000000,1869.1000000,1880.4000000,279833
comex.GC,D,29/10/20,000000,1880.3000000,1885.1000000,1859.2000000,1868.7000000,211156
comex.GC,D,30/10/20,000000,1868.6000000,1890.9000000,1863.3000000,1878.8000000,195603
comex.GC,D,01/11/20,000000,1877.0000000,1879.5000000,1875.2000000,1877.3000000,2915
comex.GC,D,02/11/20,000000,1877.2000000,1897.2000000,1873.3000000,1895.4000000,152654
comex.GC,D,03/11/20,000000,1895.4000000,1917.5000000,1887.6000000,1915.7000000,156092
comex.GC,D,04/11/20,000000,1915.7000000,1917.9000000,1881.8000000,1905.1000000,258179
comex.GC,D,05/11/20,000000,1905.0000000,1954.3000000,1902.9000000,1947.3000000,266417
comex.GC,D,06/11/20,000000,1947.5000000,1961.8000000,1937.2000000,1951.5000000,204265
comex.GC,D,08/11/20,000000,1956.0000000,1961.1000000,1954.5000000,1959.8000000,5258
comex.GC,D,09/11/20,000000,1959.8000000,1966.1000000,1848.0000000,1870.1000000,290703
comex.GC,D,10/11/20,000000,1870.1000000,1888.9000000,1865.8000000,1875.5000000,189455
comex.GC,D,11/11/20,000000,1875.6000000,1882.5000000,1853.9000000,1863.8000000,165721
comex.GC,D,12/11/20,000000,1863.6000000,1883.0000000,1860.7000000,1874.2000000,162266
comex.GC,D,13/11/20,000000,1874.1000000,1895.8000000,1872.1000000,1888.2000000,141038
comex.GC,D,15/11/20,000000,1886.6000000,1890.2000000,1885.5000000,1888.8000000,2381
comex.GC,D,16/11/20,000000,1888.9000000,1898.0000000,1861.5000000,1888.9000000,194994
comex.GC,D,17/11/20,000000,1888.8000000,1892.7000000,1876.3000000,1881.4000000,138808
comex.GC,D,18/11/20,000000,1881.2000000,1884.2000000,1860.3000000,1870.3000000,172432
comex.GC,D,19/11/20,000000,1870.1000000,1871.5000000,1850.0000000,1861.5000000,185919
comex.GC,D,20/11/20,000000,1861.7000000,1879.2000000,1859.1000000,1869.6000000,142380
comex.GC,D,22/11/20,000000,1869.8000000,1871.3000000,1867.3000000,1870.9000000,1583
comex.GC,D,23/11/20,000000,1870.9000000,1875.0000000,1828.0000000,1833.1000000,233082
comex.GC,D,24/11/20,000000,1833.1000000,1833.8000000,1797.1000000,1806.7000000,282161
comex.GC,D,25/11/20,000000,1806.7000000,1816.3000000,1798.6000000,1806.2000000,131393
comex.GC,D,26/11/20,000000,1806.3000000,1817.0000000,1803.9000000,1807.0000000,37293
comex.GC,D,27/11/20,000000,1806.7000000,1811.5000000,1770.7000000,1783.1000000,12816
comex.GC,D,29/11/20,000000,1790.8000000,1793.3000000,1788.7000000,1789.6000000,2965
comex.GC,D,30/11/20,000000,1789.5000000,1790.3000000,1767.2000000,1781.5000000,232154
comex.GC,D,01/12/20,000000,1781.4000000,1821.1000000,1779.7000000,1814.9000000,193578
comex.GC,D,02/12/20,000000,1814.9000000,1835.7000000,1810.5000000,1834.2000000,176648
comex.GC,D,03/12/20,000000,1834.2000000,1847.4000000,1826.7000000,1843.3000000,174634
comex.GC,D,04/12/20,000000,1843.3000000,1852.7000000,1832.0000000,1842.0000000,162289
comex.GC,D,06/12/20,000000,1841.1000000,1843.0000000,1836.3000000,1838.5000000,3055
comex.GC,D,07/12/20,000000,1838.5000000,1873.0000000,1824.8000000,1867.8000000,196498
comex.GC,D,08/12/20,000000,1867.7000000,1879.8000000,1863.9000000,1874.5000000,145073
comex.GC,D,09/12/20,000000,1874.5000000,1875.0000000,1828.2000000,1838.0000000,213873
comex.GC,D,10/12/20,000000,1837.9000000,1854.2000000,1831.5000000,1840.5000000,156596
comex.GC,D,11/12/20,000000,1840.5000000,1851.8000000,1826.8000000,1843.5000000,145634
comex.GC,D,13/12/20,000000,1845.0000000,1845.6000000,1839.0000000,1841.9000000,2860
comex.GC,D,14/12/20,000000,1841.9000000,1842.9000000,1820.0000000,1830.6000000,162783
comex.GC,D,15/12/20,000000,1830.5000000,1859.3000000,1828.5000000,1856.1000000,165826
comex.GC,D,16/12/20,000000,1856.1000000,1870.0000000,1848.2000000,1868.6000000,194440
comex.GC,D,17/12/20,000000,1868.5000000,1902.0000000,1865.9000000,1889.2000000,209510
comex.GC,D,18/12/20,000000,1889.2000000,1895.7000000,1881.9000000,1886.8000000,146518
comex.GC,D,20/12/20,000000,1892.9000000,1892.9000000,1887.9000000,1888.4000000,2371
comex.GC,D,21/12/20,000000,1888.3000000,1911.9000000,1859.1000000,1884.3000000,171704
comex.GC,D,22/12/20,000000,1884.1000000,1889.4000000,1863.7000000,1868.8000000,161970
comex.GC,D,23/12/20,000000,1868.8000000,1883.7000000,1860.9000000,1876.8000000,148870
comex.GC,D,24/12/20,000000,1876.9000000,1887.4000000,1873.1000000,1882.6000000,83082
comex.GC,D,27/12/20,000000,1887.0000000,1894.7000000,1885.6000000,1892.6000000,4440
comex.GC,D,28/12/20,000000,1892.4000000,1904.1000000,1873.0000000,1880.5000000,187549
comex.GC,D,29/12/20,000000,1880.5000000,1891.3000000,1875.6000000,1882.5000000,139291
comex.GC,D,30/12/20,000000,1882.6000000,1900.2000000,1879.5000000,1899.5000000,126649
comex.GC,D,31/12/20,000000,1899.6000000,1904.9000000,1889.1000000,1901.6000000,119732
comex.GC,D,03/01/21,000000,1908.2000000,1918.9000000,1906.1000000,1917.4000000,15099
comex.GC,D,04/01/21,000000,1917.1000000,1949.2000000,1914.6000000,1945.5000000,236340
comex.GC,D,05/01/21,000000,1945.4000000,1959.0000000,1938.4000000,1954.0000000,181972
comex.GC,D,06/01/21,000000,1954.2000000,1962.5000000,1902.6000000,1925.3000000,334164
comex.GC,D,07/01/21,000000,1925.1000000,1929.6000000,1907.5000000,1917.1000000,178063
comex.GC,D,08/01/21,000000,1917.0000000,1917.3000000,1827.8000000,1849.9000000,376864
comex.GC,D,10/01/21,000000,1849.4000000,1856.0000000,1841.4000000,1844.3000000,7219
comex.GC,D,11/01/21,000000,1844.4000000,1855.6000000,1817.1000000,1847.6000000,204927
comex.GC,D,12/01/21,000000,1847.5000000,1864.0000000,1835.8000000,1859.2000000,187847
comex.GC,D,13/01/21,000000,1859.1000000,1863.0000000,1841.6000000,1847.9000000,151844
comex.GC,D,14/01/21,000000,1847.8000000,1857.3000000,1826.6000000,1846.7000000,158061
comex.GC,D,15/01/21,000000,1846.7000000,1856.6000000,1822.1000000,1827.7000000,187936
comex.GC,D,17/01/21,000000,1828.8000000,1830.0000000,1800.8000000,1810.2000000,11427
comex.GC,D,18/01/21,000000,1810.2000000,1840.6000000,1809.6000000,1836.6000000,91653
comex.GC,D,19/01/21,000000,1836.5000000,1845.0000000,1831.8000000,1840.3000000,140642
comex.GC,D,20/01/21,000000,1840.2000000,1872.4000000,1831.1000000,1869.9000000,232215
comex.GC,D,21/01/21,000000,1869.9000000,1874.6000000,1857.5000000,1869.5000000,152885
comex.GC,D,22/01/21,000000,1869.7000000,1869.9000000,1836.3000000,1855.5000000,185777
comex.GC,D,24/01/21,000000,1855.3000000,1858.5000000,1853.1000000,1856.0000000,2385
comex.GC,D,25/01/21,000000,1856.3000000,1867.4000000,1846.2000000,1854.7000000,158277
comex.GC,D,26/01/21,000000,1854.5000000,1860.8000000,1846.0000000,1849.8000000,116778
comex.GC,D,27/01/21,000000,1850.0000000,1851.5000000,1828.4000000,1838.4000000,117815
comex.GC,D,28/01/21,000000,1838.8000000,1862.9000000,1831.5000000,1845.8000000,11165
comex.GC,D,29/01/21,000000,1845.8000000,1878.9000000,1841.2000000,1849.8000000,262697
comex.GC,D,31/01/21,000000,1865.0000000,1870.0000000,1855.0000000,1858.4000000,10973
comex.GC,D,01/02/21,000000,1858.2000000,1876.0000000,1851.7000000,1860.3000000,216090
comex.GC,D,02/02/21,000000,1860.6000000,1866.3000000,1830.4000000,1837.6000000,222054
comex.GC,D,03/02/21,000000,1837.6000000,1845.9000000,1830.1000000,1835.1000000,128275
comex.GC,D,04/02/21,000000,1835.1000000,1835.5000000,1784.6000000,1796.0000000,265316
comex.GC,D,05/02/21,000000,1796.0000000,1816.0000000,1792.2000000,1815.2000000,166306
comex.GC,D,07/02/21,000000,1818.1000000,1819.6000000,1815.0000000,1818.6000000,3280
comex.GC,D,08/02/21,000000,1818.6000000,1840.6000000,1807.3000000,1831.9000000,165744
comex.GC,D,09/02/21,000000,1832.1000000,1849.5000000,1831.4000000,1836.8000000,149851
comex.GC,D,10/02/21,000000,1836.8000000,1856.6000000,1834.0000000,1842.9000000,168993
comex.GC,D,11/02/21,000000,1842.8000000,1848.6000000,1821.7000000,1826.7000000,140955
comex.GC,D,12/02/21,000000,1826.7000000,1831.5000000,1810.1000000,1824.8000000,165028
comex.GC,D,14/02/21,000000,1826.0000000,1826.3000000,1820.1000000,1820.9000000,2713
comex.GC,D,15/02/21,000000,1821.1000000,1827.1000000,1815.5000000,1818.6000000,66279
comex.GC,D,16/02/21,000000,1818.7000000,1827.0000000,1785.9000000,1787.5000000,282135
comex.GC,D,17/02/21,000000,1787.4000000,1794.2000000,1767.9000000,1777.4000000,243473
comex.GC,D,18/02/21,000000,1777.3000000,1788.8000000,1766.6000000,1770.6000000,217860
comex.GC,D,19/02/21,000000,1770.5000000,1790.9000000,1759.0000000,1783.1000000,238578
comex.GC,D,21/02/21,000000,1782.0000000,1787.4000000,1780.4000000,1782.4000000,4539
comex.GC,D,22/02/21,000000,1782.8000000,1812.4000000,1778.6000000,1810.0000000,209724
comex.GC,D,23/02/21,000000,1810.1000000,1815.2000000,1794.5000000,1805.1000000,183990
comex.GC,D,24/02/21,000000,1805.2000000,1813.0000000,1782.2000000,1802.4000000,215989
comex.GC,D,25/02/21,000000,1802.4000000,1803.5000000,1763.9000000,1768.4000000,302145
comex.GC,D,26/02/21,000000,1768.6000000,1773.8000000,1714.9000000,1733.0000000,337658
comex.GC,D,28/02/21,000000,1732.8000000,1738.3000000,1731.6000000,1737.8000000,5420
comex.GC,D,01/03/21,000000,1737.8000000,1757.4000000,1717.2000000,1722.7000000,228358
comex.GC,D,02/03/21,000000,1722.6000000,1739.1000000,1704.6000000,1735.2000000,221309
comex.GC,D,03/03/21,000000,1735.2000000,1736.2000000,1699.4000000,1708.1000000,239863
comex.GC,D,04/03/21,000000,1708.2000000,1721.6000000,1687.6000000,1691.6000000,248013
comex.GC,D,05/03/21,000000,1691.6000000,1705.7000000,1683.0000000,1698.2000000,206463
comex.GC,D,07/03/21,000000,1701.6000000,1712.0000000,1700.3000000,1705.3000000,6700
comex.GC,D,08/03/21,000000,1705.3000000,1711.3000000,1673.3000000,1681.4000000,197826
comex.GC,D,09/03/21,000000,1681.3000000,1718.7000000,1676.7000000,1714.1000000,199419
comex.GC,D,10/03/21,000000,1713.9000000,1725.8000000,1705.6000000,1725.4000000,164051
comex.GC,D,11/03/21,000000,1725.4000000,1738.0000000,1716.8000000,1721.1000000,164323
comex.GC,D,12/03/21,000000,1721.0000000,1728.0000000,1696.6000000,1725.8000000,185986
comex.GC,D,14/03/21,000000,1726.5000000,1729.6000000,1722.6000000,1723.9000000,4420
comex.GC,D,15/03/21,000000,1723.8000000,1733.2000000,1719.2000000,1729.3000000,141461
comex.GC,D,16/03/21,000000,1729.2000000,1740.5000000,1724.4000000,1730.1000000,155403
comex.GC,D,17/03/21,000000,1730.0000000,1750.6000000,1722.0000000,1747.3000000,206545
comex.GC,D,18/03/21,000000,1747.2000000,1754.2000000,1716.6000000,1733.6000000,239560
comex.GC,D,19/03/21,000000,1733.6000000,1746.1000000,1727.1000000,1743.9000000,180237
comex.GC,D,21/03/21,000000,1745.6000000,1747.0000000,1737.1000000,1737.5000000,6180
comex.GC,D,22/03/21,000000,1737.5000000,1742.1000000,1726.4000000,1738.6000000,163099
comex.GC,D,23/03/21,000000,1738.5000000,1742.0000000,1722.7000000,1725.7000000,174987
comex.GC,D,24/03/21,000000,1725.8000000,1737.7000000,1722.3000000,1733.5000000,128422
comex.GC,D,25/03/21,000000,1733.5000000,1744.8000000,1720.3000000,1726.0000000,191211
comex.GC,D,26/03/21,000000,1726.1000000,1735.5000000,1718.8000000,1731.6000000,111108
comex.GC,D,28/03/21,000000,1731.5000000,1732.6000000,1729.6000000,1730.0000000,1629
comex.GC,D,29/03/21,000000,1730.0000000,1731.7000000,1703.3000000,1710.3000000,69197
comex.GC,D,30/03/21,000000,1710.2000000,1712.6000000,1676.5000000,1685.9000000,11207
comex.GC,D,31/03/21,000000,1686.0000000,1716.3000000,1677.3000000,1708.3000000,201718
comex.GC,D,01/04/21,000000,1708.4000000,1732.0000000,1706.4000000,1730.3000000,161291
comex.GC,D,02/04/21,000000,1728.4000000,1728.4000000,1728.4000000,1728.4000000,1
comex.GC,D,04/04/21,000000,1728.4000000,1730.3000000,1727.5000000,1729.0000000,3348
comex.GC,D,05/04/21,000000,1729.0000000,1734.4000000,1721.6000000,1730.3000000,99026
comex.GC,D,06/04/21,000000,1730.2000000,1746.7000000,1728.2000000,1744.4000000,145556
comex.GC,D,07/04/21,000000,1744.3000000,1744.4000000,1731.2000000,1737.8000000,118075
comex.GC,D,08/04/21,000000,1737.8000000,1759.4000000,1733.6000000,1755.1000000,135563
comex.GC,D,09/04/21,000000,1755.1000000,1758.2000000,1730.8000000,1744.1000000,161175
comex.GC,D,11/04/21,000000,1744.5000000,1745.0000000,1741.2000000,1742.2000000,2433
comex.GC,D,12/04/21,000000,1742.2000000,1746.2000000,1727.0000000,1732.1000000,119966
comex.GC,D,13/04/21,000000,1732.1000000,1749.5000000,1723.2000000,1747.0000000,168544
comex.GC,D,14/04/21,000000,1747.0000000,1750.7000000,1732.3000000,1736.8000000,137371
comex.GC,D,15/04/21,000000,1736.7000000,1770.6000000,1734.4000000,1764.6000000,191793
comex.GC,D,16/04/21,000000,1764.6000000,1784.7000000,1760.3000000,1777.3000000,163337
comex.GC,D,18/04/21,000000,1778.8000000,1778.9000000,1775.5000000,1777.3000000,3157
comex.GC,D,19/04/21,000000,1777.2000000,1790.4000000,1766.6000000,1772.4000000,174491
comex.GC,D,20/04/21,000000,1772.3000000,1780.8000000,1763.5000000,1777.0000000,163342
comex.GC,D,21/04/21,000000,1777.1000000,1798.4000000,1776.6000000,1794.3000000,167569
comex.GC,D,22/04/21,000000,1794.3000000,1798.1000000,1777.1000000,1783.4000000,160494
comex.GC,D,23/04/21,000000,1783.4000000,1796.3000000,1769.5000000,1776.7000000,163573
comex.GC,D,25/04/21,000000,1776.1000000,1776.4000000,1773.6000000,1774.7000000,2353
comex.GC,D,26/04/21,000000,1774.7000000,1783.1000000,1768.2000000,1779.8000000,132268
comex.GC,D,27/04/21,000000,1779.9000000,1785.9000000,1773.9000000,1775.3000000,133712
comex.GC,D,28/04/21,000000,1775.3000000,1784.0000000,1761.8000000,1783.9000000,186263
comex.GC,D,29/04/21,000000,1783.8000000,1789.9000000,1754.6000000,1772.9000000,216038
comex.GC,D,30/04/21,000000,1772.8000000,1772.9000000,1763.3000000,1768.8000000,142245
comex.GC,D,02/05/21,000000,1768.1000000,1768.8000000,1765.6000000,1768.5000000,2404
comex.GC,D,03/05/21,000000,1768.4000000,1798.9000000,1766.7000000,1792.4000000,164798
comex.GC,D,04/05/21,000000,1792.3000000,1799.5000000,1769.2000000,1778.3000000,230386
comex.GC,D,05/05/21,000000,1778.2000000,1788.1000000,1769.3000000,1785.1000000,158591
comex.GC,D,06/05/21,000000,1785.2000000,1818.6000000,1781.8000000,1815.2000000,252102
comex.GC,D,07/05/21,000000,1815.2000000,1844.6000000,1813.4000000,1832.0000000,318030
comex.GC,D,09/05/21,000000,1835.4000000,1837.6000000,1832.7000000,1836.9000000,4297
comex.GC,D,10/05/21,000000,1836.9000000,1846.3000000,1830.5000000,1836.8000000,200044
comex.GC,D,11/05/21,000000,1836.8000000,1842.5000000,1817.8000000,1836.1000000,232857
comex.GC,D,12/05/21,000000,1836.2000000,1844.7000000,1813.0000000,1817.6000000,276445
comex.GC,D,13/05/21,000000,1817.5000000,1829.1000000,1808.4000000,1825.2000000,201796
comex.GC,D,14/05/21,000000,1825.3000000,1847.1000000,1819.0000000,1844.0000000,196937
comex.GC,D,16/05/21,000000,1845.9000000,1849.7000000,1842.6000000,1847.4000000,5858
comex.GC,D,17/05/21,000000,1847.3000000,1869.8000000,1843.9000000,1869.8000000,201386
comex.GC,D,18/05/21,000000,1869.6000000,1875.9000000,1863.5000000,1870.6000000,179230
comex.GC,D,19/05/21,000000,1870.7000000,1891.3000000,1852.2000000,1866.2000000,333874
comex.GC,D,20/05/21,000000,1866.1000000,1885.3000000,1864.2000000,1874.5000000,164637
comex.GC,D,21/05/21,000000,1874.4000000,1890.3000000,1870.3000000,1881.8000000,189563
comex.GC,D,23/05/21,000000,1883.5000000,1884.6000000,1880.8000000,1884.1000000,3592
comex.GC,D,24/05/21,000000,1884.2000000,1887.9000000,1875.7000000,1878.1000000,147447
comex.GC,D,25/05/21,000000,1878.0000000,1901.2000000,1873.2000000,1898.9000000,189646
comex.GC,D,26/05/21,000000,1898.9000000,1913.3000000,1890.7000000,1896.1000000,113042
comex.GC,D,27/05/21,000000,1896.3000000,1903.9000000,1888.2000000,1896.9000000,12267
comex.GC,D,28/05/21,000000,1897.4000000,1905.4000000,1881.9000000,1903.7000000,854
comex.GC,D,30/05/21,000000,1906.8000000,1908.0000000,1906.0000000,1906.7000000,2028
comex.GC,D,31/05/21,000000,1906.7000000,1913.4000000,1904.8000000,1911.2000000,70783
comex.GC,D,01/06/21,000000,1911.2000000,1919.2000000,1894.5000000,1901.4000000,208654
comex.GC,D,02/06/21,000000,1901.3000000,1912.1000000,1896.4000000,1910.5000000,157920
comex.GC,D,03/06/21,000000,1910.6000000,1912.3000000,1866.7000000,1872.7000000,256773
comex.GC,D,04/06/21,000000,1872.7000000,1899.0000000,1855.6000000,1894.1000000,217338
comex.GC,D,06/06/21,000000,1894.3000000,1894.6000000,1891.2000000,1891.8000000,2056
comex.GC,D,07/06/21,000000,1891.9000000,1902.9000000,1883.7000000,1901.4000000,138781
comex.GC,D,08/06/21,000000,1901.3000000,1906.9000000,1885.7000000,1895.9000000,168202
comex.GC,D,09/06/21,000000,1895.8000000,1901.7000000,1889.3000000,1891.2000000,138236
comex.GC,D,10/06/21,000000,1891.1000000,1903.0000000,1871.8000000,1901.3000000,241442
comex.GC,D,11/06/21,000000,1901.3000000,1906.2000000,1876.1000000,1879.5000000,205587
comex.GC,D,13/06/21,000000,1879.6000000,1879.7000000,1875.2000000,1875.7000000,5154
comex.GC,D,14/06/21,000000,1875.6000000,1875.8000000,1845.7000000,1868.6000000,230804
comex.GC,D,15/06/21,000000,1868.5000000,1870.9000000,1853.0000000,1859.5000000,152021
comex.GC,D,16/06/21,000000,1859.6000000,1866.0000000,1804.4000000,1819.7000000,222490
comex.GC,D,17/06/21,000000,1819.7000000,1826.4000000,1767.9000000,1777.2000000,362616
comex.GC,D,18/06/21,000000,1777.2000000,1797.9000000,1761.2000000,1763.9000000,244271
comex.GC,D,20/06/21,000000,1764.3000000,1770.2000000,1764.1000000,1769.4000000,4935
comex.GC,D,21/06/21,000000,1769.3000000,1787.5000000,1766.1000000,1783.7000000,185333
comex.GC,D,22/06/21,000000,1783.6000000,1790.1000000,1771.2000000,1777.8000000,162704
comex.GC,D,23/06/21,000000,1777.7000000,1795.6000000,1773.1000000,1777.4000000,173672
comex.GC,D,24/06/21,000000,1777.4000000,1788.6000000,1772.7000000,1775.3000000,143706
comex.GC,D,25/06/21,000000,1775.2000000,1791.0000000,1773.6000000,1781.8000000,149787
comex.GC,D,27/06/21,000000,1782.0000000,1782.9000000,1780.8000000,1782.0000000,2588
comex.GC,D,28/06/21,000000,1782.0000000,1786.1000000,1770.4000000,1778.5000000,154896
comex.GC,D,29/06/21,000000,1778.4000000,1779.0000000,1750.1000000,1761.7000000,227859
